,Слово,Кол-во употреблений,Коэффициент,Тональность
713,безупречный,2,"1,0",положительное
714,завоёвывать,2,"-0,5309999999999999",отрицательное
715,сопротивляться,2,"-0,6701999999999999",отрицательное
716,воевать,2,"-0,9662",отрицательное
717,сиять,2,"0,9375",положительное
718,приоритет,2,"0,6933",положительное
719,хвастаться,2,"-0,9871",отрицательное
720,питаться,2,"0,684",положительное
721,злоба,2,"-1,0",отрицательное
722,послевкусие,2,"-0,6171500000000001",отрицательное
723,осилить,2,"0,9066",положительное
724,критика,2,"-0,6124499999999999",отрицательное
725,печальный,2,"-1,0",отрицательное
726,детство,2,"0,8256",положительное
727,голодный,2,"-1,0",отрицательное
728,заложить,2,"-0,5483",отрицательное
729,грех,2,"-1,0",отрицательное
730,трусость,2,"-0,9722",отрицательное
731,погибнуть,2,"-1,0",отрицательное
732,трусливый,2,"-1,0",отрицательное
733,виноватый,2,"-1,0",отрицательное
734,отрубать,2,"-0,95",отрицательное
735,недовольство,2,"-0,98",отрицательное
736,тюрьма,2,"-1,0",отрицательное
737,распоряжение,2,"-0,6232",отрицательное
738,спасатель,2,"1,0",положительное
739,критический,2,"-0,78935",отрицательное
740,досуг,2,"0,7364",положительное
741,возместить,2,"0,6818",положительное
742,грустный,2,"-0,92855",отрицательное
743,концерт,2,"0,7759",положительное
744,арест,2,"-1,0",отрицательное
745,проиграть,2,"-0,9564999999999999",отрицательное
746,благополучие,2,"1,0",положительное
747,веселиться,2,"1,0",положительное
748,ругать,2,"-1,0",отрицательное
749,честь,2,"1,0",положительное
750,вмешательство,2,"-0,7950999999999999",отрицательное
751,выгнать,2,"-1,0",отрицательное
752,компромисс,2,"0,7174",положительное
753,удачный,2,"1,0",положительное
754,грозить,2,"-1,0",отрицательное
755,тупик,2,"-0,8366",отрицательное
756,отрабатывать,2,"-0,50885",отрицательное
757,убийство,2,"-1,0",отрицательное
758,отписаться,2,"-0,7625",отрицательное
759,познаваться,2,"0,7241",положительное
760,недоумение,2,"-0,6841999999999999",отрицательное
761,разногласие,2,"-0,9597",отрицательное
762,отнять,2,"-0,9597",отрицательное
763,категорически,2,"-0,77",отрицательное
764,честность,2,"1,0",положительное
765,благосостояние,2,"0,9",положительное
766,взаимный,2,"0,6795",положительное
767,приятель,2,"0,9146",положительное
768,дёргаться,2,"-0,75745",отрицательное
769,продажный,2,"-1,0",отрицательное
770,разбить,2,"-0,9597",отрицательное
771,предъявить,2,"-0,6767000000000001",отрицательное
772,ругаться,2,"-1,0",отрицательное
773,стимул,2,"1,0",положительное
774,вооружение,2,"-0,724",отрицательное
775,впечатляющий,2,"1,0",положительное
776,выдавливать,2,"-0,58",отрицательное
777,захлебнуться,2,"-1,0",отрицательное
778,безумный,2,"-1,0",отрицательное
779,смелость,2,"1,0",положительное
780,недополучить,2,"-1,0",отрицательное
781,сестра,2,"0,6756",положительное
782,разъяснение,2,"0,6885",положительное
783,сократиться,2,"-0,55",отрицательное
784,лишиться,2,"-1,0",отрицательное
785,креатив,2,"0,9",положительное
786,неплохой,2,"0,7105",положительное
787,платный,2,"-0,6875",отрицательное
788,неэффективный,2,"-0,95",отрицательное
789,предусмотреть,2,"0,7377",положительное
790,поддержание,2,"0,6983",положительное
791,прощать,2,"0,9444",положительное
792,заключение,2,"-0,5593",отрицательное
793,слеза,2,"-0,63765",отрицательное
794,просрочить,2,"-1,0",отрицательное
795,борьба,2,"-0,6245499999999999",отрицательное
796,отрицательный,2,"-1,0",отрицательное
797,глупость,2,"-0,9335",отрицательное
798,крайний,2,"-0,5664",отрицательное
799,лезть,2,"-0,5847",отрицательное
800,ужас,2,"-1,0",отрицательное
801,смягчение,2,"0,7564",положительное
802,сомнительный,2,"-0,85975",отрицательное
803,претензия,2,"-0,89865",отрицательное
804,судиться,2,"-0,8682000000000001",отрицательное
805,психоз,2,"-1,0",отрицательное
806,скрытый,2,"-0,53845",отрицательное
807,разочарование,2,"-1,0",отрицательное
808,замедляться,2,"-0,5086",отрицательное
809,портить,2,"-1,0",отрицательное
810,реализоваться,2,"1,0",положительное
811,совесть,2,"0,85",положительное
812,экспертный,2,"0,9",положительное
813,превышение,2,"-0,6172",отрицательное
814,наказать,2,"-1,0",отрицательное
815,вылечить,2,"1,0",положительное
816,разделить,2,"-0,52585",отрицательное
817,творить,2,"0,8097",положительное
818,книжка,2,"0,684",положительное
819,пыль,2,"-0,79445",отрицательное
820,сладкий,2,"0,9",положительное
821,литература,2,"0,6517",положительное
822,рисковать,2,"-0,58065",отрицательное
823,разрываться,2,"-0,95",отрицательное
824,заморозить,2,"-0,5086",отрицательное
825,тупость,2,"-1,0",отрицательное
826,лишить,2,"-1,0",отрицательное
827,работоспособность,2,"0,9",положительное
828,способный,2,"1,0",положительное
829,замечательный,2,"1,0",положительное
830,почётный,2,"1,0",положительное
831,особенный,2,"0,7331",положительное
832,застрять,2,"-0,92275",отрицательное
833,рассвет,2,"0,708",положительное
834,отказываться,2,"-0,7841",отрицательное
835,пот,2,"-0,6636500000000001",отрицательное
836,неизвестность,2,"-0,55",отрицательное
837,расслабить,2,"0,657",положительное
838,успокоиться,2,"0,9167",положительное
839,посвящать,2,"0,9375",положительное
840,уникальность,2,"1,0",положительное
841,навык,2,"0,9146",положительное
842,теряться,2,"-1,0",отрицательное
843,злость,2,"-1,0",отрицательное
844,токсичный,2,"-0,9914000000000001",отрицательное
845,алкоголь,2,"-0,843",отрицательное
846,истина,2,"0,8468",положительное
847,ум,2,"0,7955",положительное
848,разумный,2,"1,0",положительное
849,недоработка,2,"-1,0",отрицательное
850,инфоцыган,2,"-1,0",отрицательное
851,сбываться,2,"0,8421",положительное
852,чуждый,2,"-0,8574999999999999",отрицательное
853,раб,2,"-0,98335",отрицательное
854,удивительный,2,"1,0",положительное
855,путать,2,"-0,8581",отрицательное
856,вредный,2,"-1,0",отрицательное
857,тормозить,2,"-0,6919500000000001",отрицательное
858,подъесть,2,"-0,5849",отрицательное
859,сгореть,2,"-0,92145",отрицательное
860,находка,2,"0,7301",положительное
861,преподаватель,2,"0,6944",положительное
862,отладить,2,"0,7091",положительное
863,продуктивный,2,"1,0",положительное
864,испачкать,2,"-0,9871",отрицательное
865,неподходящий,2,"-0,95",отрицательное
866,штрафовать,2,"-1,0",отрицательное
867,автомат,2,"-0,5547",отрицательное
868,сомнение,2,"-0,6699999999999999",отрицательное
869,просидеть,2,"-0,70885",отрицательное
870,алкогольный,2,"-0,843",отрицательное
871,медленный,2,"-0,62815",отрицательное
872,беда,2,"-1,0",отрицательное
873,жизнеспособный,2,"1,0",положительное
874,решиться,2,"0,6522",положительное
875,неблагодарный,2,"-1,0",отрицательное
876,уменьшиться,2,"-0,6129",отрицательное
877,сессия,2,"-0,66395",отрицательное
878,обучить,2,"0,9167",положительное
879,украшение,2,"0,9",положительное
880,заинтересоваться,2,"0,9194",положительное
881,стремление,2,"0,9828",положительное
882,докатиться,2,"-0,8686499999999999",отрицательное
883,исправить,2,"0,9",положительное
884,некомпетентность,2,"-1,0",отрицательное
885,мошенник,2,"-1,0",отрицательное
886,блок,2,"-0,51085",отрицательное
887,освободиться,2,"1,0",положительное
888,страдать,2,"-1,0",отрицательное
889,спохватываться,2,"-0,5201",отрицательное
890,внимательный,2,"0,9",положительное
891,прокормить,2,"0,7832",положительное
892,начинание,2,"0,7241",положительное
893,надзор,2,"-0,65385",отрицательное
894,отменный,2,"1,0",положительное
895,отклонение,2,"-0,8625",отрицательное
896,тупить,2,"-1,0",отрицательное
897,отшивать,2,"-0,95",отрицательное
898,значительный,2,"0,6892",положительное
899,приключение,2,"0,9",положительное
900,проспать,2,"-0,8905",отрицательное
901,массаж,2,"0,8478",положительное
902,противник,2,"-1,0",отрицательное
903,торопиться,2,"-0,5262",отрицательное
904,разрешать,2,"0,9",положительное
905,прогресс,2,"1,0",положительное
906,премия,2,"1,0",положительное
907,подходящий,2,"0,9194",положительное
908,зарядка,2,"0,7031",положительное
909,обижаться,2,"-0,9573",отрицательное
910,схватить,2,"-0,6384000000000001",отрицательное
911,популярный,2,"0,8119",положительное
912,совершенствование,2,"1,0",положительное
913,чемпион,2,"1,0",положительное
914,лёгкость,2,"1,0",положительное
915,вызов,2,"-0,5093",отрицательное
916,рок,2,"-0,55",отрицательное
917,спец,2,"0,9444",положительное
918,интересоваться,2,"0,7205",положительное
919,стресс,2,"-1,0",отрицательное
920,откровенный,2,"0,6931",положительное
921,перспективный,2,"1,0",положительное
922,смертельный,2,"-1,0",отрицательное
923,карусель,2,"0,6969",положительное
924,свадьба,2,"1,0",положительное
925,добиваться,2,"0,9",положительное
926,подтверждение,2,"0,7326",положительное
927,нетерпение,2,"-0,97725",отрицательное
928,талант,2,"1,0",положительное
929,торжество,2,"1,0",положительное
930,заслуживать,2,"0,7623",положительное
931,чистота,2,"1,0",положительное
932,творческий,2,"0,9118",положительное
933,инновация,2,"1,0",положительное
934,даться,2,"-0,5513",отрицательное
935,эго,2,"-0,60205",отрицательное
936,уговаривать,2,"-0,51045",отрицательное
937,завоевать,2,"-0,6371",отрицательное
938,вечеринка,2,"0,9375",положительное
939,одобрение,2,"1,0",положительное
940,раздражать,2,"-1,0",отрицательное
941,трата,2,"-0,8047",отрицательное
942,популярность,2,"0,6818",положительное
943,доверить,2,"0,9211",положительное
944,извинить,2,"1,0",положительное
945,оптимизм,2,"1,0",положительное
946,должник,2,"-0,95",отрицательное
947,устоять,2,"0,9444",положительное
948,прорваться,2,"1,0",положительное
949,превышать,2,"-0,77565",отрицательное
950,стратег,2,"0,6504",положительное
951,бомбить,2,"-0,95",отрицательное
952,дружеский,2,"1,0",положительное
953,сдаться,2,"-0,9028",отрицательное
954,затрудняться,2,"-0,76135",отрицательное
955,пошатнуться,2,"-0,6245",отрицательное
956,столкнуться,2,"-0,62785",отрицательное
957,профессионализм,2,"1,0",положительное
958,цирк,2,"0,743",положительное
959,вдохновить,2,"1,0",положительное
960,устарелый,2,"-0,7345999999999999",отрицательное
961,экзамен,2,"-0,59915",отрицательное
962,кайф,2,"1,0",положительное
963,праздновать,2,"1,0",положительное
964,интересовать,2,"0,66",положительное
965,избавиться,2,"-0,6933",отрицательное
966,заботиться,2,"1,0",положительное
967,ясный,2,"0,9",положительное
968,наступление,2,"-0,6308499999999999",отрицательное
969,легальный,2,"1,0",положительное
970,оперативность,2,"0,7957",положительное
971,разнообразие,2,"0,7636",положительное
972,лох,2,"-1,0",отрицательное
973,движуха,2,"0,9231",положительное
974,битва,2,"-0,9195",отрицательное
975,эксклюзивный,2,"0,6639",положительное
976,признание,2,"0,9118",положительное
977,родина,2,"0,9124",положительное
978,пейзаж,2,"0,688",положительное
979,состоятельный,2,"1,0",положительное
980,гарантия,2,"0,8684",положительное
981,хлопоты,2,"-0,66595",отрицательное
982,выставить,2,"-0,5882499999999999",отрицательное
983,отойти,2,"-0,5448500000000001",отрицательное
984,опоздать,2,"-0,9853000000000001",отрицательное
985,действенный,2,"0,9",положительное
986,кредитование,2,"-0,73895",отрицательное
987,пялиться,2,"-1,0",отрицательное
988,накручивать,2,"-0,708",отрицательное
989,тяжесть,2,"-0,7463",отрицательное
990,печаль,2,"-1,0",отрицательное
991,медаль,2,"0,9",положительное
992,трепать,2,"-0,8084",отрицательное
993,посмеяться,2,"0,8158",положительное
994,излишний,2,"-0,7962",отрицательное
995,волнение,2,"-0,6081000000000001",отрицательное
996,прелесть,2,"1,0",положительное
997,доносить,2,"-0,8602000000000001",отрицательное
998,рутина,2,"-0,8311",отрицательное
999,надёжность,2,"1,0",положительное
1000,настоящее,2,"0,7326",положительное
1001,вцепиться,2,"-0,8679",отрицательное
1002,компактный,2,"0,6563",положительное
1003,увлекательный,2,"1,0",положительное
1004,диплом,2,"0,6905",положительное
1005,сгущёнка,2,"0,6639",положительное
1006,справедливость,2,"1,0",положительное
1007,порадоваться,2,"1,0",положительное
1008,творчество,2,"0,9375",положительное
1009,вдохновение,2,"1,0",положительное
1010,тепло,2,"0,9194",положительное
1011,учёба,2,"0,8036",положительное
1012,вино,2,"-0,54275",отрицательное
1013,сертифицированный,2,"0,9444",положительное
1014,кинуть,1,"-0,7250000000000001",отрицательное
1015,заминировать,1,"-0,95",отрицательное
1016,стрелять,1,"-0,8145",отрицательное
1017,анекдот,1,"1,0",положительное
1018,профи,1,"1,0",положительное
1019,незначительный,1,"-0,5086",отрицательное
1020,задавить,1,"-1,0",отрицательное
1021,отсидеть,1,"-0,8625",отрицательное
1022,садик,1,"0,7266",положительное
1023,заразиться,1,"-0,9597",отрицательное
1024,целоваться,1,"0,9146",положительное
1025,разрушить,1,"-1,0",отрицательное
1026,заболевать,1,"-1,0",отрицательное
1027,безалаберность,1,"-1,0",отрицательное
1028,наложение,1,"-0,53235",отрицательное
1029,ухудшение,1,"-1,0",отрицательное
1030,спирт,1,"-0,6009",отрицательное
1031,тонуть,1,"-0,9914000000000001",отрицательное
1032,затыкать,1,"-0,81035",отрицательное
1033,уловка,1,"-0,7269",отрицательное
1034,толпа,1,"-0,6593",отрицательное
1035,дружный,1,"1,0",положительное
1036,позитив,1,"1,0",положительное
1037,оптимистичный,1,"1,0",положительное
1038,сохраниться,1,"0,9375",положительное
1039,умница,1,"1,0",положительное
1040,вывернуться,1,"-0,54325",отрицательное
1041,писаться,1,"-0,8128",отрицательное
1042,обсосать,1,"-0,7",отрицательное
1043,отвлекаться,1,"-0,8024",отрицательное
1044,легендарный,1,"0,9231",положительное
1045,взрывать,1,"-0,9078999999999999",отрицательное
1046,артиллерия,1,"-0,55235",отрицательное
1047,исповедь,1,"0,9",положительное
1048,клубника,1,"0,66",положительное
1049,сожрать,1,"-0,95",отрицательное
1050,вишня,1,"0,7558",положительное
1051,заманить,1,"-0,71665",отрицательное
1052,грибок,1,"-0,8564499999999999",отрицательное
1053,комар,1,"-0,6182000000000001",отрицательное
1054,затянуть,1,"-0,60345",отрицательное
1055,тугой,1,"-0,6315999999999999",отрицательное
1056,ужесточение,1,"-1,0",отрицательное
1057,повисать,1,"-0,56965",отрицательное
1058,вырисовываться,1,"-0,6306",отрицательное
1059,подводить,1,"-0,8954500000000001",отрицательное
1060,неготовность,1,"-0,90385",отрицательное
1061,устранить,1,"-0,5909",отрицательное
1062,болезненный,1,"-1,0",отрицательное
1063,крах,1,"-1,0",отрицательное
1064,упустить,1,"-0,9527",отрицательное
1065,сбережение,1,"0,8654",положительное
1066,негодяй,1,"-1,0",отрицательное
1067,криминал,1,"-1,0",отрицательное
1068,модернизировать,1,"1,0",положительное
1069,развить,1,"0,9",положительное
1070,смастерить,1,"0,6707",положительное
1071,болото,1,"-0,7357499999999999",отрицательное
1072,преодолеть,1,"0,9643",положительное
1073,наркомания,1,"-0,9914000000000001",отрицательное
1074,доза,1,"-0,539",отрицательное
1075,драгоценность,1,"0,8644",положительное
1076,здравствовать,1,"1,0",положительное
1077,повторяться,1,"-0,55",отрицательное
1078,стёб,1,"-0,9821500000000001",отрицательное
1079,беременность,1,"0,657",положительное
1080,блокировать,1,"-0,825",отрицательное
1081,наказывать,1,"-1,0",отрицательное
1082,упрямиться,1,"-0,95",отрицательное
1083,нагнуть,1,"-0,6628499999999999",отрицательное
1084,расходный,1,"-0,625",отрицательное
1085,устойчивый,1,"0,7627",положительное
1086,непростительный,1,"-0,95",отрицательное
1087,рваться,1,"-0,63795",отрицательное
1088,насмехаться,1,"-1,0",отрицательное
1089,мастерство,1,"0,9",положительное
1090,ураган,1,"-0,9108499999999999",отрицательное
1091,налаживаться,1,"1,0",положительное
1092,блоха,1,"-0,8050999999999999",отрицательное
1093,свежесть,1,"1,0",положительное
1094,возрождаться,1,"0,8363",положительное
1095,культурный,1,"1,0",положительное
1096,отпугивать,1,"-0,7818",отрицательное
1097,охотиться,1,"-0,56795",отрицательное
1098,налюбоваться,1,"1,0",положительное
1099,высыпаться,1,"0,9",положительное
1100,практиковать,1,"1,0",положительное
1101,цыплёнок,1,"0,9",положительное
1102,сияние,1,"0,6527",положительное
1103,скупой,1,"-1,0",отрицательное
1104,обидеться,1,"-0,95",отрицательное
1105,печалиться,1,"-0,95895",отрицательное
1106,учредить,1,"1,0",положительное
1107,вдумываться,1,"0,6818",положительное
1108,продаться,1,"-1,0",отрицательное
1109,бесить,1,"-1,0",отрицательное
1110,ненависть,1,"-1,0",отрицательное
1111,атомный,1,"-0,5849500000000001",отрицательное
1112,утонуть,1,"-1,0",отрицательное
1113,разворовать,1,"-1,0",отрицательное
1114,прощание,1,"-0,54385",отрицательное
1115,потревожить,1,"-0,96155",отрицательное
1116,экстренный,1,"-0,6423000000000001",отрицательное
1117,пожертвовать,1,"0,9906",положительное
1118,хорошеть,1,"1,0",положительное
1119,мучительный,1,"-1,0",отрицательное
1120,побояться,1,"-0,8421000000000001",отрицательное
1121,расстрелять,1,"-1,0",отрицательное
1122,грозный,1,"-0,99015",отрицательное
1123,расхлёбывать,1,"-0,93085",отрицательное
1124,победить,1,"1,0",положительное
1125,благодетель,1,"1,0",положительное
1126,ликовать,1,"1,0",положительное
1127,отгородиться,1,"-0,7261",отрицательное
1128,расстреливать,1,"-0,9314",отрицательное
1129,роковой,1,"-0,8285",отрицательное
1130,аварийный,1,"-1,0",отрицательное
1131,учение,1,"0,9643",положительное
1132,трагический,1,"-1,0",отрицательное
1133,подаваться,1,"-0,58",отрицательное
1134,ядерный,1,"-0,6938500000000001",отрицательное
1135,заглушить,1,"-0,7097",отрицательное
1136,траур,1,"-1,0",отрицательное
1137,ложь,1,"-1,0",отрицательное
1138,исправный,1,"1,0",положительное
1139,драгоценный,1,"1,0",положительное
1140,приобретение,1,"0,6859999999999999",положительное
1141,неравнодушный,1,"1,0",положительное
1142,кинотеатр,1,"0,7258",положительное
1143,преступник,1,"-1,0",отрицательное
1144,мать,1,"0,9231",положительное
1145,спустить,1,"-0,55",отрицательное
1146,фас,1,"-0,6281",отрицательное
1147,презирать,1,"-1,0",отрицательное
1148,гнать,1,"-0,8482000000000001",отрицательное
1149,хрупкий,1,"-0,55",отрицательное
1150,спасительный,1,"1,0",положительное
1151,наладиться,1,"1,0",положительное
1152,валиться,1,"-0,6859",отрицательное
1153,усталость,1,"-0,8362",отрицательное
1154,обниматься,1,"1,0",положительное
1155,пронзительный,1,"-0,525",отрицательное
1156,шоколад,1,"0,9643",положительное
1157,толковый,1,"0,9",положительное
1158,влюбляться,1,"1,0",положительное
1159,заталкивать,1,"-0,55",отрицательное
1160,похвала,1,"1,0",положительное
1161,небезразличный,1,"1,0",положительное
1162,выключить,1,"-0,6284000000000001",отрицательное
1163,заткнуть,1,"-0,8508",отрицательное
1164,вырисоваться,1,"-0,54255",отрицательное
1165,кошмарить,1,"-1,0",отрицательное
1166,непосильный,1,"-0,90715",отрицательное
1167,уволиться,1,"-0,7334499999999999",отрицательное
1168,воскресный,1,"0,6692",положительное
1169,пробить,1,"-0,6604",отрицательное
1170,взвалить,1,"-0,7974",отрицательное
1171,развлекательный,1,"0,8947",положительное
1172,сдвинуться,1,"-0,51785",отрицательное
1173,сносить,1,"-0,7416",отрицательное
1174,лишаться,1,"-0,96875",отрицательное
1175,снос,1,"-0,70285",отрицательное
1176,абсурдность,1,"-1,0",отрицательное
1177,непреодолимый,1,"-0,6373500000000001",отрицательное
1178,проблемный,1,"-0,95",отрицательное
1179,депутат,1,"-0,55405",отрицательное
1180,результативный,1,"0,9",положительное
1181,пригодиться,1,"0,9444",положительное
1182,сглаз,1,"-1,0",отрицательное
1183,переполненный,1,"-0,6132",отрицательное
1184,безумие,1,"-0,95",отрицательное
1185,беспредельный,1,"-0,8545499999999999",отрицательное
1186,несчастный,1,"-1,0",отрицательное
1187,издевательство,1,"-1,0",отрицательное
1188,подруга,1,"1,0",положительное
1189,осиливать,1,"0,75",положительное
1190,нуждаться,1,"-0,5963",отрицательное
1191,уважительный,1,"1,0",положительное
1192,грызть,1,"-0,6219",отрицательное
1193,удалять,1,"-0,6353",отрицательное
1194,уважение,1,"1,0",положительное
1195,подделать,1,"-0,99285",отрицательное
1196,дисциплинировать,1,"0,9",положительное
1197,непродуманный,1,"-0,92455",отрицательное
1198,усыновить,1,"0,7185",положительное
1199,внятный,1,"0,8759999999999999",положительное
1200,наглый,1,"-0,9853000000000001",отрицательное
1201,исправляться,1,"1,0",положительное
1202,истеричный,1,"-1,0",отрицательное
1203,бедный,1,"-0,95835",отрицательное
1204,бесконтрольный,1,"-1,0",отрицательное
1205,убыль,1,"-1,0",отрицательное
1206,бессмысленный,1,"-0,8281499999999999",отрицательное
1207,плакать,1,"-0,8300000000000001",отрицательное
1208,вынуждать,1,"-1,0",отрицательное
1209,переплачивать,1,"-0,92755",отрицательное
1210,престижный,1,"1,0",положительное
1211,исключить,1,"-0,6890000000000001",отрицательное
1212,однодневка,1,"-0,6005",отрицательное
1213,ворчать,1,"-1,0",отрицательное
1214,грязный,1,"-1,0",отрицательное
1215,допрос,1,"-0,8679",отрицательное
1216,заваливать,1,"-0,7827999999999999",отрицательное
1217,некуда,1,"-0,6962999999999999",отрицательное
1218,задушить,1,"-1,0",отрицательное
1219,неверие,1,"-0,7537499999999999",отрицательное
1220,улыбнуться,1,"1,0",положительное
1221,решительность,1,"1,0",положительное
1222,принудительный,1,"-0,9642999999999999",отрицательное
1223,подвергнуть,1,"-0,75385",отрицательное
1224,квитанция,1,"-0,5278",отрицательное
1225,чужак,1,"-0,875",отрицательное
1226,папочка,1,"0,9783",положительное
1227,маловероятный,1,"-0,55555",отрицательное
1228,взимание,1,"-0,7775000000000001",отрицательное
1229,злоупотребление,1,"-1,0",отрицательное
1230,шантаж,1,"-1,0",отрицательное
1231,успокоение,1,"0,9444",положительное
1232,волшебный,1,"1,0",положительное
1233,бездействие,1,"-0,8125",отрицательное
1234,порочный,1,"-1,0",отрицательное
1235,прекращение,1,"-0,625",отрицательное
1236,копеечный,1,"-0,6508",отрицательное
1237,дно,1,"-0,6622",отрицательное
1238,проломить,1,"-0,8125",отрицательное
1239,разорение,1,"-1,0",отрицательное
1240,давить,1,"-0,8013",отрицательное
1241,перевалить,1,"-0,51115",отрицательное
1242,рентабельность,1,"1,0",положительное
1243,вниз,1,"-0,5864499999999999",отрицательное
1244,непрозрачный,1,"-0,55",отрицательное
1245,провоцировать,1,"-1,0",отрицательное
1246,неразбериха,1,"-1,0",отрицательное
1247,нарушать,1,"-0,95",отрицательное
1248,сужение,1,"-0,60295",отрицательное
1249,вытеснение,1,"-0,8552500000000001",отрицательное
1250,уместный,1,"0,7957",положительное
1251,повышаться,1,"0,6951",положительное
1252,неотвратимость,1,"-0,6818",отрицательное
1253,рюмка,1,"-0,5730500000000001",отрицательное
1254,довести,1,"-0,5345",отрицательное
1255,затормаживать,1,"-0,75",отрицательное
1256,исчерпываться,1,"-0,631",отрицательное
1257,хмурый,1,"-0,96875",отрицательное
1258,затребовать,1,"-0,70835",отрицательное
1259,приуныть,1,"-1,0",отрицательное
1260,скрывать,1,"-0,8",отрицательное
1261,давка,1,"-1,0",отрицательное
1262,одобрить,1,"1,0",положительное
1263,соглашение,1,"0,9",положительное
1264,неповоротливый,1,"-0,9539500000000001",отрицательное
1265,неуклюжий,1,"-0,9539500000000001",отрицательное
1266,гаишник,1,"-0,51785",отрицательное
1267,разум,1,"1,0",положительное
1268,жрать,1,"-0,9742500000000001",отрицательное
1269,осваивать,1,"1,0",положительное
1270,ласковый,1,"1,0",положительное
1271,бодрый,1,"1,0",положительное
1272,прорыв,1,"0,7881",положительное
1273,утрачивать,1,"-1,0",отрицательное
1274,щедрость,1,"1,0",положительное
1275,облегчить,1,"1,0",положительное
1276,пыхтеть,1,"-0,6458999999999999",отрицательное
1277,выискивать,1,"-0,57145",отрицательное
1278,распилить,1,"-0,5529",отрицательное
1279,фига,1,"-0,85295",отрицательное
1280,прикрываться,1,"-0,57145",отрицательное
1281,ввязаться,1,"-0,9821500000000001",отрицательное
1282,неуверенный,1,"-0,8884000000000001",отрицательное
1283,испортить,1,"-1,0",отрицательное
1284,пропаганда,1,"-0,8158000000000001",отрицательное
1285,диктатура,1,"-0,94645",отрицательное
1286,радуга,1,"1,0",положительное
1287,медицина,1,"0,7045",положительное
1288,гроб,1,"-0,8995500000000001",отрицательное
1289,заинтересованность,1,"0,9",положительное
1290,похвастаться,1,"-0,8182",отрицательное
1291,фальшь,1,"-1,0",отрицательное
1292,резать,1,"-0,5765",отрицательное
1293,завидовать,1,"-1,0",отрицательное
1294,ныть,1,"-0,9722",отрицательное
1295,бастовать,1,"-0,9597",отрицательное
1296,подсесть,1,"-0,5734",отрицательное
1297,наезд,1,"-1,0",отрицательное
1298,отжать,1,"-0,8508",отрицательное
1299,обвинение,1,"-1,0",отрицательное
1300,педофилия,1,"-1,0",отрицательное
1301,инфаркт,1,"-1,0",отрицательное
1302,выучить,1,"0,657",положительное
1303,нашкодить,1,"-1,0",отрицательное
1304,грязь,1,"-1,0",отрицательное
1305,влезть,1,"-0,6766000000000001",отрицательное
1306,рваный,1,"-0,86205",отрицательное
1307,позвякивать,1,"-0,55",отрицательное
1308,напевать,1,"0,677",положительное
1309,притворный,1,"-0,88805",отрицательное
1310,отчаяние,1,"-1,0",отрицательное
1311,фантастический,1,"0,9",положительное
1312,хоронить,1,"-0,95",отрицательное
1313,мрачный,1,"-1,0",отрицательное
1314,галлюцинация,1,"-0,8895500000000001",отрицательное
1315,противоположность,1,"-0,55355",отрицательное
1316,врач,1,"0,7619",положительное
1317,ветеринар,1,"0,6707",положительное
1318,неуязвимый,1,"0,8762",положительное
1319,армия,1,"-0,5524",отрицательное
1320,извинение,1,"0,9052",положительное
1321,простуда,1,"-1,0",отрицательное
1322,укусить,1,"-0,875",отрицательное
1323,нападать,1,"-0,9737",отрицательное
1324,уголовник,1,"-1,0",отрицательное
1325,отвратительный,1,"-1,0",отрицательное
1326,скверный,1,"-1,0",отрицательное
1327,пообедать,1,"0,9231",положительное
1328,учёный,1,"0,9",положительное
1329,чума,1,"-0,9914000000000001",отрицательное
1330,пессимистический,1,"-1,0",отрицательное
1331,оптимистка,1,"1,0",положительное
1332,непредвиденный,1,"-0,7021999999999999",отрицательное
1333,мажор,1,"-0,67795",отрицательное
1334,подбодрить,1,"1,0",положительное
1335,накатить,1,"-0,60835",отрицательное
1336,липкий,1,"-0,6976",отрицательное
1337,противный,1,"-1,0",отрицательное
1338,биться,1,"-0,72785",отрицательное
1339,восстановить,1,"1,0",положительное
1340,признать,1,"0,7195",положительное
1341,повториться,1,"-0,5102",отрицательное
1342,наваливаться,1,"-0,7807",отрицательное
1343,нечеловеческий,1,"-0,8629",отрицательное
1344,божеский,1,"0,9",положительное
1345,хаус,1,"-0,7604500000000001",отрицательное
1346,оптимизация,1,"1,0",положительное
1347,издержка,1,"-0,81755",отрицательное
1348,впустую,1,"-0,93635",отрицательное
1349,утекать,1,"-0,5718000000000001",отрицательное
1350,ерунда,1,"-0,84755",отрицательное
1351,опустошать,1,"-0,8110999999999999",отрицательное
1352,скандал,1,"-1,0",отрицательное
1353,ссора,1,"-0,9914000000000001",отрицательное
1354,вежливость,1,"1,0",положительное
1355,вооружиться,1,"-0,54115",отрицательное
1356,устремление,1,"0,9118",положительное
1357,знаток,1,"1,0",положительное
1358,сувенир,1,"0,7373",положительное
1359,разминка,1,"0,804",положительное
1360,недобросовестный,1,"-1,0",отрицательное
1361,перебить,1,"-0,9722",отрицательное
1362,ведать,1,"0,8455",положительное
1363,гнуть,1,"-0,55",отрицательное
1364,солнышко,1,"1,0",положительное
1365,доставать,1,"-0,6681999999999999",отрицательное
1366,злодей,1,"-1,0",отрицательное
1367,рубить,1,"-0,56975",отрицательное
1368,ведьмак,1,"-0,62785",отрицательное
1369,великий,1,"0,9231",положительное
1370,заклинить,1,"-0,84615",отрицательное
